"variable_id","membership","cluster","cluster_raw"
"protein_5893",0.92048690963505,1,1
"protein_5991",0.88044301491344,1,1
"protein_5997",0.99899530319794,1,1
"protein_6034",0.99926955165949,1,1
"protein_6049",0.992397763306937,1,1
"protein_6068",0.944255179417109,1,1
"protein_6078",0.977211757793132,1,1
"protein_6182",0.827113297367454,1,1
"protein_6191",0.999573533211186,1,1
"protein_6202",0.972145824890176,1,1
"protein_6237",0.948122544520356,1,1
"protein_6303",0.997794968375018,1,1
"protein_6325",0.91176714770118,1,1
"protein_6342",0.991577506883929,1,1
"protein_6350",0.859443941951293,1,1
"protein_6453",0.914859985941777,1,1
"protein_6504",0.999661190074358,1,1
"protein_6547",0.956429240721232,1,1
"protein_6550",0.99982981796828,1,1
"protein_6576",0.850909214507904,1,1
"protein_6652",0.860817508713927,1,1
"protein_6714",0.999922928897124,1,1
"protein_6740",0.99821257445012,1,1
"protein_6758",0.998989256334746,1,1
"protein_6759",0.957824024122071,1,1
"protein_6849",0.969195002591495,1,1
"protein_6858",0.999198857513811,1,1
"protein_6996",0.836863979279237,1,1
"protein_7001",0.993279015377398,1,1
"protein_7027",0.927694958845148,1,1
"protein_7125",0.993839164857651,1,1
"protein_7139",0.971237814622824,1,1
"protein_7168",0.866979887508033,1,1
"protein_7177",0.999286568920918,1,1
"protein_7244",0.999878957568729,1,1
"protein_7263",0.92623139314701,1,1
"protein_7294",0.998499098586591,1,1
"protein_7402",0.923338275164872,1,1
"protein_7474",0.995201918580539,1,1
"protein_7584",0.997437991214354,1,1
"protein_7586",0.999928659731035,1,1
"protein_7597",0.997964673456011,1,1
"protein_7632",0.998857677348899,1,1
"protein_7721",0.941528943939267,1,1
"protein_7723",0.999681967750333,1,1
"protein_7918",0.865446862349098,1,1
"protein_7939",0.900302324193804,1,1
"protein_7943",0.978839606751439,1,1
"protein_7980",0.873827413967635,1,1
"protein_7984",0.812661302075843,1,1
"protein_8059",0.900866480008399,1,1
"protein_8061",0.9738461462736,1,1
"protein_8089",0.997212482881298,1,1
"protein_8139",0.88522448920277,1,1
"protein_8160",0.925688688944487,1,1
"protein_8315",0.96866463679069,1,1
"protein_8357",0.912881163771309,1,1
"protein_8360",0.926778971942537,1,1
"protein_8375",0.991140119924149,1,1
"protein_8417",0.999888455930098,1,1
"protein_8418",0.96051992753303,1,1
"protein_8425",0.988186364325358,1,1
"protein_8434",0.994542095660703,1,1
"protein_8460",0.808842724468624,1,1
"protein_32",0.992376830918937,2,2
"protein_112",0.984614408706309,2,2
"protein_139",0.874246300388787,2,2
"protein_141",0.997273683779974,2,2
"protein_160",0.987380141399413,2,2
"protein_166",0.97573874595611,2,2
"protein_199",0.950716705624368,2,2
"protein_240",0.946103581418283,2,2
"protein_283",0.957369552430257,2,2
"protein_310",0.945431469039063,2,2
"protein_323",0.866413123297879,2,2
"protein_334",0.999574454975035,2,2
"protein_412",0.998887988055474,2,2
"protein_416",0.932271325433653,2,2
"protein_441",0.999678571273252,2,2
"protein_491",0.834955221013328,2,2
"protein_567",0.991927332603082,2,2
"protein_614",0.977420985874026,2,2
"protein_660",0.990758419705576,2,2
"protein_710",0.818106363343461,2,2
"protein_719",0.984263027246382,2,2
"protein_763",0.928054541618107,2,2
"protein_825",0.866341856273516,2,2
"protein_826",0.814604881088524,2,2
"protein_852",0.819031846202959,2,2
"protein_958",0.93956942307001,2,2
"protein_1012",0.990298504043364,2,2
"protein_1106",0.81809017014951,2,2
"protein_1132",0.999853590103442,2,2
"protein_1233",0.949079673083062,2,2
"protein_1246",0.999045170742406,2,2
"protein_1260",0.93608843527883,2,2
"protein_1520",0.993509250592484,2,2
"protein_1565",0.99274503750193,2,2
"protein_1567",0.973171084994208,2,2
"protein_1610",0.988984167097954,2,2
"protein_1627",0.960801068750867,2,2
"protein_1628",0.945182076061677,2,2
"protein_1684",0.890786432060869,2,2
"protein_1687",0.981631825448483,2,2
"protein_1703",0.970573315579957,2,2
"protein_1729",0.988850995932561,2,2
"protein_1739",0.933013350229685,2,2
"protein_1766",0.997240336620352,2,2
"protein_1776",0.99902498155122,2,2
"protein_1811",0.882103612429208,2,2
"protein_1812",0.889036407026089,2,2
"protein_1815",0.999424375118378,2,2
"protein_1816",0.961733316914713,2,2
"protein_1819",0.871313288523516,2,2
"protein_1880",0.814124110606643,2,2
"protein_1889",0.970618965662266,2,2
"protein_1895",0.903222572421398,2,2
"protein_1918",0.91575532519545,2,2
"protein_1975",0.964636026352719,2,2
"protein_2007",0.995341776401288,2,2
"protein_2074",0.842016089745531,2,2
"protein_2076",0.869970125702121,2,2
"protein_2099",0.822028038864607,2,2
"protein_2209",0.944315097576374,2,2
"protein_2214",0.833043879683348,2,2
"protein_2242",0.851364854506553,2,2
"protein_2255",0.864491943898021,2,2
"protein_2274",0.910121273763322,2,2
"protein_2310",0.993541025907179,2,2
"protein_2331",0.997915168706368,2,2
"protein_2366",0.889504604143328,2,2
"protein_2419",0.997656404282184,2,2
"protein_2426",0.961667124214572,2,2
"protein_2460",0.989745075315442,2,2
"protein_2523",0.93144088206227,2,2
"protein_2577",0.813011248173886,2,2
"protein_2672",0.892604664911715,2,2
"protein_2692",0.994655654885941,2,2
"protein_2707",0.990777624616535,2,2
"protein_2784",0.990561939235179,2,2
"protein_2813",0.998420770473931,2,2
"protein_2851",0.926881905320211,2,2
"protein_2860",0.98932846031499,2,2
"protein_2872",0.993966183270164,2,2
"protein_2937",0.8401325434908,2,2
"protein_2984",0.927820306514073,2,2
"protein_3020",0.828258319056226,2,2
"protein_3082",0.928584682437578,2,2
"protein_3100",0.95877748509044,2,2
"protein_3157",0.835838413319527,2,2
"protein_3207",0.882975453279211,2,2
"protein_3253",0.949681202694667,2,2
"protein_3297",0.983276378677887,2,2
"protein_3387",0.999758119149371,2,2
"protein_3394",0.958848626689381,2,2
"protein_3425",0.992467108982093,2,2
"protein_3528",0.877266659401834,2,2
"protein_3552",0.968745472845191,2,2
"protein_3588",0.926962455186575,2,2
"protein_3637",0.991257426382265,2,2
"protein_3765",0.997139803032386,2,2
"protein_3770",0.802086369079646,2,2
"protein_3810",0.985203446736218,2,2
"protein_3862",0.925540113874189,2,2
"protein_3871",0.827562245538314,2,2
"protein_3916",0.999822458709338,2,2
"protein_3921",0.9562364013892,2,2
"protein_3927",0.999924299435612,2,2
"protein_3968",0.991266096589447,2,2
"protein_3984",0.93649105509729,2,2
"protein_4080",0.996902395610373,2,2
"protein_4183",0.991162111158598,2,2
"protein_4209",0.998329528606453,2,2
"protein_4219",0.829978597944556,2,2
"protein_4228",0.98230875926793,2,2
"protein_4267",0.990873820852841,2,2
"protein_4342",0.955267600447381,2,2
"protein_4359",0.995032371937336,2,2
"protein_4366",0.999991907019963,2,2
"protein_4440",0.969471965105842,2,2
"protein_4481",0.999670863297182,2,2
"protein_4502",0.901168465345817,2,2
"protein_4539",0.88635103343126,2,2
"protein_4621",0.998430270070079,2,2
"protein_4630",0.949487078676234,2,2
"protein_4669",0.997998408261523,2,2
"protein_4767",0.97599805731391,2,2
"protein_4785",0.981103377920399,2,2
"protein_4819",0.930591123408663,2,2
"protein_4822",0.997773896374276,2,2
"protein_4911",0.99768269361163,2,2
"protein_4976",0.814509292273162,2,2
"protein_4988",0.822510423346377,2,2
"protein_5099",0.955166524441502,2,2
"protein_5259",0.904563352117716,2,2
"protein_5273",0.982832555858997,2,2
"protein_5338",0.951234266063466,2,2
"protein_5358",0.87489315444676,2,2
"protein_5373",0.888164578720777,2,2
"protein_5416",0.98086972384266,2,2
"protein_5428",0.999907215690099,2,2
"protein_5452",0.996555648153665,2,2
"protein_5501",0.826525841589328,2,2
"protein_5553",0.985561992244242,2,2
"protein_5575",0.880926723930124,2,2
"protein_5583",0.816943008017327,2,2
"protein_5585",0.813700069764804,2,2
"protein_5598",0.927679618881119,2,2
"protein_5604",0.990092022247013,2,2
"protein_5652",0.87787327015203,2,2
"protein_5867",0.875732413296687,2,2
"protein_5969",0.960211994510845,2,2
"protein_6019",0.990558719017047,2,2
"protein_6193",0.850989738885442,2,2
"protein_6230",0.995813975225605,2,2
"protein_6261",0.878025414950924,2,2
"protein_6265",0.813567975288318,2,2
"protein_6290",0.96557228800845,2,2
"protein_6294",0.821441840380729,2,2
"protein_6348",0.970598275023029,2,2
"protein_6433",0.999458250272366,2,2
"protein_6447",0.87858781089946,2,2
"protein_6461",0.999402128539558,2,2
"protein_6467",0.983467363024444,2,2
"protein_6507",0.925871174456341,2,2
"protein_6516",0.973795933892777,2,2
"protein_6532",0.931071788935282,2,2
"protein_6535",0.952266232690255,2,2
"protein_6602",0.999932464121085,2,2
"protein_6624",0.99974017104986,2,2
"protein_6627",0.861435770127894,2,2
"protein_6634",0.944134244924892,2,2
"protein_6756",0.999534633365779,2,2
"protein_6800",0.928808538922456,2,2
"protein_6821",0.916897352924255,2,2
"protein_6843",0.999853278147345,2,2
"protein_6967",0.826075055829558,2,2
"protein_7012",0.999348196179247,2,2
"protein_7054",0.879654757099038,2,2
"protein_7098",0.940102897389714,2,2
"protein_7129",0.927040573989808,2,2
"protein_7155",0.989773492619617,2,2
"protein_7161",0.99433692268163,2,2
"protein_7194",0.998822922327778,2,2
"protein_7212",0.99105790196038,2,2
"protein_7231",0.837897631946132,2,2
"protein_7267",0.993865017257038,2,2
"protein_7275",0.988919899943652,2,2
"protein_7348",0.945141443596448,2,2
"protein_7412",0.828551343728905,2,2
"protein_7413",0.997677489625621,2,2
"protein_7457",0.939421183523183,2,2
"protein_7469",0.866153502815622,2,2
"protein_7482",0.852778250111577,2,2
"protein_7483",0.939335306854424,2,2
"protein_7533",0.99301932539591,2,2
"protein_7548",0.919086318511708,2,2
"protein_7620",0.866188055456676,2,2
"protein_7634",0.993264115566876,2,2
"protein_7661",0.827325354356833,2,2
"protein_7681",0.934400766179671,2,2
"protein_7716",0.99213628014781,2,2
"protein_7765",0.825060739271716,2,2
"protein_7780",0.92161472301118,2,2
"protein_7783",0.979068397927119,2,2
"protein_7858",0.875263730775232,2,2
"protein_7968",0.968716745251151,2,2
"protein_7988",0.958573850432025,2,2
"protein_7997",0.898052159457671,2,2
"protein_8176",0.96574866354221,2,2
"protein_8181",0.955424412294425,2,2
"protein_8207",0.993445217625292,2,2
"protein_8224",0.999892835417667,2,2
"protein_8329",0.919983617994983,2,2
"protein_8383",0.984497005243076,2,2
"protein_8455",0.98720544874012,2,2
"protein_19",0.99335135984886,3,3
"protein_41",0.817386236775632,3,3
"protein_43",0.999928420532719,3,3
"protein_55",0.977654265944059,3,3
"protein_81",0.892061727346792,3,3
"protein_99",0.96233875709351,3,3
"protein_127",0.928609421268809,3,3
"protein_128",0.999806889581763,3,3
"protein_129",0.938652518754606,3,3
"protein_152",0.899487979880783,3,3
"protein_162",0.882335235879594,3,3
"protein_163",0.924667307974271,3,3
"protein_179",0.89064433261177,3,3
"protein_189",0.838666766344692,3,3
"protein_204",0.998010518215522,3,3
"protein_228",0.999570153934838,3,3
"protein_271",0.977448226375485,3,3
"protein_321",0.952632021924595,3,3
"protein_398",0.959993967928064,3,3
"protein_435",0.98313542203688,3,3
"protein_453",0.991889180267863,3,3
"protein_464",0.999897256206945,3,3
"protein_476",0.999998508788022,3,3
"protein_490",0.99985984315889,3,3
