"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_5",-0.295854499506982,0.00487866137033862,0.0985908467471613,0.244782269544603,0.456001928983819,0.0352161531800026
"protein_1778",-0.40683929322251,7.60792261553828e-05,0.140512115546084,0.0965343801945196,0.255683654374045,0.00133206573652416
"protein_1937",-0.321693058731319,0.00211140538610732,0.0674063160769944,0.42708799042413,0.635938512449919,0.0187918273622835
"protein_4053",-0.30215905648552,0.00400386168183478,0.191604091636913,0.0228430030837777,0.106695712837203,0.0302659056254485
"protein_4087",-0.301669842665414,0.00406635376463269,0.062779551842358,0.459567041471107,0.660626682950361,0.030591252170504
"protein_5139",-0.286493338535395,0.00649136311182353,0.0796539289296446,0.34777622684994,0.5644048393264,0.0430537645849581
"protein_6433",-0.340678411363877,0.00108760430433007,0.00563342381382278,0.947140363117849,0.976178478665435,0.0114925899371067
"protein_7661",-0.342133676272759,0.00103188630980518,0.0569170835440879,0.502615276932185,0.69021607707564,0.0110455718424186
