"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_6071",-0.452705021453503,8.418304490181e-06,-0.404661946690734,6.46171968661664e-07,1.91026617670179e-05,0.000228225277952695
"protein_6109",-0.688526600891744,8.87481663524161e-14,-0.573168152773247,1.10663771779301e-13,1.20562031366227e-11,1.68388140892928e-11
"protein_6195",-0.33842381602803,0.00117934107081242,-0.355769585407145,1.49490496078397e-05,0.000307500905045179,0.0123015310631019
"protein_6231",-0.705098699978101,1.23003389174097e-14,-0.673300474040357,5.88183631137408e-20,1.44178512582557e-17,2.78318822504313e-12
"protein_6243",-0.280406921202589,0.00777748156129044,-0.340793609589803,3.54710818341985e-05,0.000632352649789666,0.0495183160444498
"protein_6261",-0.430466086245567,2.54705323719028e-05,-0.317897016267878,0.000122358211676469,0.00175607552789678,0.000540949970916622
"protein_6267",-0.35753882800758,0.00058219564454191,-0.307869891899176,0.00020414444494791,0.0027049138955598,0.00700420649660543
"protein_6280",-0.775207213984364,4.8216776331226e-19,-0.655503473250298,1.14569119323129e-18,2.40717903206416e-16,1.89106196771068e-16
"protein_6358",-0.391835947990839,0.000146255203157391,-0.5299574279204,1.40151622066701e-11,1.08488420081369e-09,0.00225831853064286
"protein_6377",-0.804876775736502,2.02533729756707e-21,-0.73771901501984,1.74618288625114e-25,1.052234083832e-22,1.48938241519838e-18
"protein_6416",-0.321094411373352,0.0021545829040443,-0.51499882178442,6.41901995974893e-11,4.39105749107011e-09,0.0190036150292243
"protein_6456",-0.293929559868554,0.00517768270507561,-0.25482156270805,0.00229292947726141,0.0192980030253632,0.0370113090570593
"protein_6474",-0.401833958892454,9.4943964311012e-05,-0.491753265735978,5.92723264257259e-10,3.3483636052909e-08,0.00160044510613663
"protein_6509",-0.535567631692713,6.3759632213141e-08,-0.551683822315819,1.34005738600713e-12,1.21285501567384e-10,3.61312412942486e-06
"protein_6529",-0.62242444265919,7.43467425929024e-11,-0.32052604398084,0.000106668722904481,0.00158868885277737,8.57611542498127e-09
"protein_6582",-0.518809328633951,1.90428032563214e-07,-0.50113080646056,2.4666858068701e-10,1.48076659202212e-08,9.10803345991371e-06
"protein_6612",-0.766192546727764,2.16132013571594e-18,-0.686949730597775,5.22542973235042e-21,1.70784461752319e-18,7.48899012920729e-16
"protein_6617",-0.454435713519884,7.69797973683138e-06,-0.24570212971355,0.00331686117732378,0.0259138038594898,0.000213618937697071
"protein_6651",-0.543193731927333,3.79868390579058e-08,-0.532355167072282,1.09051461214989e-11,8.78835268942163e-10,2.35238499134379e-06
"protein_6685",-0.796799058761494,9.82466314506474e-21,-0.767506017606837,1.25789253758253e-28,2.46672726619935e-25,6.42205480915732e-18
"protein_6729",-0.291906122454029,0.00550944162823071,-0.313717136592692,0.000151795701209722,0.00211614718060852,0.0386622372691911
"protein_6732",-0.602907797236895,4.05329589044155e-10,-0.669557408698148,1.117169552979e-19,2.62892339207019e-17,3.90910487269961e-08
"protein_6768",-0.299437822882904,0.00436264750390872,-0.337178249901776,4.34145989891532e-05,0.000744629987910169,0.0322025787521895
"protein_6936",-0.375219087854911,0.000291103091316433,-0.316103851739831,0.000134266407510204,0.00189926352408257,0.00399198015434633
"protein_6990",-0.500020588641138,6.06733061654204e-07,-0.519987892493745,3.89603168380172e-11,2.73325117642677e-09,2.4731843123435e-05
"protein_7038",-0.599066443166198,5.58435976661251e-10,-0.547125781723866,2.22383236185304e-12,1.98224330072446e-10,4.90767675329601e-08
"protein_7148",-0.307843898499085,0.0033380301529558,-0.344159473526278,2.93216961146777e-05,0.000535712851685246,0.0263239026673445
"protein_7239",-0.309362858655222,0.00317778743438575,-0.321136153604215,0.000103306651421443,0.00155435557624642,0.0254352700360426
"protein_7266",-0.289525687660199,0.00592375980446381,-0.43521816270062,6.92043630052025e-08,2.49772556785034e-06,0.0406171083096277
"protein_7284",-0.433695165125257,2.1791887680306e-05,-0.339802056678326,3.75018026568605e-05,0.000666535060514532,0.000474821019345334
"protein_7305",-0.340841691808663,0.00108121937709199,-0.462812129331769,7.5503676780637e-09,3.36506159470066e-07,0.0114816129881448
"protein_7329",-0.641904146951707,1.21157669443135e-11,-0.673481521698093,5.7007740472644e-20,1.44178512582557e-17,1.51653312624247e-09
"protein_7335",-0.60672140005871,2.93634588695445e-10,-0.512991715623521,7.82923173041003e-11,5.17521014269687e-09,2.92788522931408e-08
"protein_7403",-0.601880698699261,4.41772932992472e-10,-0.5841681443204,2.87295446201927e-14,3.38031822001188e-12,4.15861552250439e-08
"protein_7407",-0.554849609487697,1.67834406458544e-08,-0.530028413510142,1.39118351223197e-11,1.08488420081369e-09,1.12201115135865e-06
"protein_7485",-0.334416381460872,0.00135990240390245,-0.270613478656903,0.00117232399394272,0.0113062000924017,0.0135368965180341
"protein_7539",-0.51082064148442,3.14344262492982e-07,-0.440723535483191,4.51775855241438e-08,1.72584243921129e-06,1.3996705837016e-05
"protein_7573",-0.426508727467781,3.07698823000055e-05,-0.492781261649608,5.39105915416732e-10,3.08556545685763e-08,0.00064191211904586
"protein_7585",-0.342338353303265,0.00102426151502721,-0.375138270966118,4.57495360479784e-06,0.000110759061963069,0.0109958585636954
"protein_7625",-0.30872489536092,0.00324423076994877,-0.303882744262968,0.000248978292791774,0.00319812073470307,0.0258104699950581
"protein_7684",-0.693554752437054,4.94142055038716e-14,-0.75138584281023,7.17015787195775e-27,7.26856713374193e-24,9.69012569930921e-12
"protein_7703",-0.442824421988114,1.38996618088858e-05,-0.332923626604534,5.48946841061331e-05,0.000904609038085102,0.000345028314015506
"protein_7707",-0.413957878398095,5.51818380173671e-05,-0.321984221447612,9.87973674468215e-05,0.00149415144650296,0.00102086400332129
"protein_7710",-0.791834502316649,2.50426330303991e-20,-0.717657273686863,1.34258544427173e-23,7.18039106240961e-21,1.47325810117838e-17
"protein_7726",-0.532618105519467,7.76343163322966e-08,-0.481381098828738,1.51630195239258e-09,7.89416317338543e-08,4.15202439075365e-06
"protein_7778",-0.481317800972548,1.79880372995284e-06,-0.375059704918412,4.59769657551359e-06,0.000110853479318633,6.22491902547798e-05
"protein_7913",-0.280918343291796,0.00766137770439666,-0.33729192641432,4.31412636421926e-05,0.000742105421073156,0.0488849078470342
"protein_8028",-0.355889581163431,0.000619841294671146,-0.385124059707059,2.41021592800461e-06,6.24638779931768e-05,0.00736295598698284
"protein_8163",-0.306016401885045,0.00354037884545059,-0.391777061793691,1.55407323211138e-06,4.19385909381249e-05,0.0276968733348216
"protein_8183",-0.538779626985934,5.13445872142796e-08,-0.426421361517025,1.34691220138471e-07,4.58028004667414e-06,3.05111319779401e-06
"protein_8228",-0.51319749350108,2.71157502645119e-07,-0.324457864407914,8.66723745765393e-05,0.00135609994583452,1.21772487638262e-05
"protein_8323",-0.341762999855577,0.00104582654310326,-0.290910121447731,0.000465922466388812,0.00537455268581447,0.0111460100599212
"protein_8356",-0.609100174992175,2.3962715605253e-10,-0.587808033905639,1.81819516045031e-14,2.22842544352691e-12,2.43056303285696e-08
"protein_8408",-0.714116810205276,3.95871758173149e-15,-0.678590675486642,2.33740376307873e-20,6.67745902207237e-18,1.10900645396792e-12
"protein_8452",-0.551387592976021,2.14618020514003e-08,-0.490451317143561,6.68048527721997e-10,3.70766932885708e-08,1.41864922998189e-06
"protein_8461",-0.416162974631526,4.98829969247355e-05,-0.347730640601468,2.39011051462479e-05,0.000450673722998001,0.000943606658868872
