"variable_id","cor_male","p_male","cor_female","p_female","p_female_fdr","p_male_fdr"
"protein_3569",-0.374480868094289,0.000299889897480893,-0.354330357134956,1.62745472480072e-05,0.000327887539246666,0.00407448560480391
"protein_3582",-0.286624620648329,0.00646582798691789,-0.243337619150858,0.00364226580767743,0.027719857369426,0.0430177987539572
"protein_3583",-0.634639798090885,2.4192235828328e-11,-0.608212521709858,1.25423749153287e-15,1.86694285082583e-13,2.91002862645654e-09
"protein_3618",-0.679779692194416,2.39087477070268e-13,-0.591275055092746,1.16967895633967e-14,1.46408963832899e-12,3.90708785445663e-11
"protein_3672",-0.614697800702702,1.47538114093154e-10,-0.662589576309748,3.59858692131786e-19,8.14249494542807e-17,1.57812131856368e-08
"protein_3684",-0.316976311338633,0.00247379925435732,-0.285990180792056,0.000586442567268176,0.00643664481947515,0.021140894745452
"protein_3692",-0.698412877597455,2.77443516174086e-14,-0.485525885313157,1.04569401275962e-09,5.54217826762597e-08,5.82928644875768e-12
"protein_3697",-0.588406374327293,1.3295087015894e-09,-0.527378942226992,1.83159124926157e-11,1.36395586321593e-09,1.07563059595675e-07
"protein_3788",-0.318457944145689,0.00235435737665273,-0.304874611552422,0.000237042540948474,0.00307841339602621,0.0204040932331511
"protein_3820",-0.333973992815504,0.00138129811160422,-0.333959885279948,5.18620868731053e-05,0.000871727591641368,0.0136804323073529
"protein_3826",-0.452014612450706,8.72294106320658e-06,-0.431070408730924,9.49551001909632e-08,3.34503505642777e-06,0.000234324485273262
"protein_3914",-0.383408251600409,0.000208309532157604,-0.471295269347429,3.66960176883442e-09,1.79902226717107e-07,0.00304090565181931
"protein_3934",-0.557886294650837,1.34961305221262e-08,-0.22503401571534,0.00729986084483675,0.0470454941748851,9.23229486763587e-07
"protein_3973",-0.460556844188775,5.58817231077103e-06,-0.274540521399593,0.00098594013411862,0.00986443164799293,0.00016194688524269
"protein_4057",-0.457967527943982,6.40384633092246e-06,-0.527606649804921,1.78897218810699e-11,1.34929786956839e-09,0.000182882660023383
"protein_4059",-0.366685920292655,0.000408768468817258,-0.492758853588583,5.40223086956206e-10,3.08556545685763e-08,0.00525062205688193
"protein_4082",-0.493442485584442,8.95779152775666e-07,-0.468590269120624,4.62875786747171e-09,2.19604697857549e-07,3.444358663908e-05
"protein_4096",-0.398420246229289,0.0001102066101639,-0.294958125580287,0.000384374962905492,0.00460545398528108,0.00179100963423818
"protein_4108",-0.287315517405007,0.00633290231373264,-0.310948698912176,0.000174789564245736,0.00236387817576474,0.0425165525214873
"protein_4161",-0.382135562817241,0.00021955694145499,-0.48139572866862,1.51432761971329e-09,7.89416317338543e-08,0.00317326622289849
"protein_4233",-0.349914125653558,0.000775634818251485,-0.25276708802031,0.00249466015833218,0.0206705432555891,0.00882603411174755
"protein_4301",-0.394636794383877,0.000129761125631667,-0.493151170955609,5.20982847472794e-10,3.03459613037866e-08,0.00203027846300823
"protein_4316",-0.506086730398466,4.20530355654073e-07,-0.45508395173407,1.4325000276224e-08,5.97687777482453e-07,1.7545958030588e-05
"protein_4320",-0.403241050907334,8.92436732879137e-05,-0.300179498010393,0.000298643455716358,0.0037460969082715,0.0015086796837724
"protein_4412",-0.476762389492188,2.32155103988826e-06,-0.444120674595165,3.45931067470691e-08,1.36584729525508e-06,7.71620608342522e-05
